Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Win_By_Innings,Man_Of_Match
2018-02-13,4,Wellington,Westpac Stadium,2017/18,Trans-Tasman Twenty20 Trophy,T20,20,"New Zealand, England",New Zealand,England,international,England,field,New Zealand,,12,,,KS Williamson
2018-02-16,5,Auckland,Eden Park,2017/18,Trans-Tasman Twenty20 Trophy,T20,20,"New Zealand, Australia",New Zealand,Australia,international,New Zealand,bat,Australia,,,5,,DJM Short
2018-02-18,6,Hamilton,Seddon Park,2017/18,Trans-Tasman Twenty20 Trophy,T20,20,"England, New Zealand",England,New Zealand,international,New Zealand,field,England,,2,,,EJG Morgan
2018-02-21,,Auckland,Eden Park,2017/18,Trans-Tasman Twenty20 Trophy,T20,20,"New Zealand, Australia",New Zealand,Australia,international,New Zealand,bat,Australia,,19,,,AC Agar
2017-01-14,1,Abu Dhabi,Sheikh Zayed Stadium,2016/17,Desert T20 Challenge,T20,20,"Hong Kong, Scotland",Hong Kong,Scotland,international,Scotland,bat,Scotland,,24,,,CS MacLeod
2017-01-15,3,Abu Dhabi,Sheikh Zayed Stadium,2016/17,Desert T20 Challenge,T20,20,"Netherlands, Oman",Netherlands,Oman,international,Oman,bat,Netherlands,,,5,,MJG Rippon
2017-01-16,5,Abu Dhabi,Sheikh Zayed Stadium,2016/17,Desert T20 Challenge,T20,20,"Hong Kong, Oman",Hong Kong,Oman,international,Oman,field,Oman,,,7,,Bilal Khan
2017-01-17,8,Abu Dhabi,Sheikh Zayed Stadium,2016/17,Desert T20 Challenge,T20,20,"Netherlands, Scotland",Netherlands,Scotland,international,Netherlands,field,Scotland,,7,,,JH Davey
2017-01-18,9,,Dubai International Cricket Stadium,2016/17,Desert T20 Challenge,T20,20,"United Arab Emirates, Ireland",United Arab Emirates,Ireland,international,Ireland,bat,Ireland,,24,,,WB Rankin
2017-01-18,10,,Dubai International Cricket Stadium,2016/17,Desert T20 Challenge,T20,20,"Hong Kong, Netherlands",Hong Kong,Netherlands,international,Hong Kong,bat,Hong Kong,,91,,,Anshuman Rath
2017-01-19,12,,Dubai International Cricket Stadium,2016/17,Desert T20 Challenge,T20,20,"Oman, Scotland",Oman,Scotland,international,Oman,bat,Scotland,,,7,,MH Cross
2017-01-20,,,Dubai International Cricket Stadium,2016/17,Desert T20 Challenge,T20,20,"Ireland, Scotland",Ireland,Scotland,international,Scotland,field,Ireland,,98,,,GC Wilson
