Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Win_By_Innings,Man_Of_Match
2017-06-10,10,Birmingham,Edgbaston,2017,ICC Champions Trophy,ODI,50,"England, Australia",England,Australia,international,England,field,England,,40,,,BA Stokes
2017-06-11,11,London,Kennington Oval,2017,ICC Champions Trophy,ODI,50,"India, South Africa",India,South Africa,international,India,field,India,,,8,,JJ Bumrah
2017-06-12,12,Cardiff,Sophia Gardens,2017,ICC Champions Trophy,ODI,50,"Pakistan, Sri Lanka",Pakistan,Sri Lanka,international,Pakistan,field,Pakistan,,,3,,Sarfraz Ahmed
2017-06-14,,Cardiff,Sophia Gardens,2017,ICC Champions Trophy,ODI,50,"England, Pakistan",England,Pakistan,international,Pakistan,field,Pakistan,,,8,,Hasan Ali
2017-06-15,,Birmingham,Edgbaston,2017,ICC Champions Trophy,ODI,50,"Bangladesh, India",Bangladesh,India,international,India,field,India,,,9,,RG Sharma
2017-06-18,,London,Kennington Oval,2017,ICC Champions Trophy,ODI,50,"India, Pakistan",India,Pakistan,international,India,field,Pakistan,,180,,,Fakhar Zaman
2016-11-04,1,Hong Kong,"Mission Road Ground, Mong Kok",2016/17,Papua New Guinea in Hong Kong ODI Series,ODI,50,"Hong Kong, Papua New Guinea",Hong Kong,Papua New Guinea,international,Hong Kong,bat,Hong Kong,,106,,,Babar Hayat
2016-11-06,2,Hong Kong,"Mission Road Ground, Mong Kok",2016/17,Papua New Guinea in Hong Kong ODI Series,ODI,50,"Hong Kong, Papua New Guinea",Hong Kong,Papua New Guinea,international,Papua New Guinea,bat,Papua New Guinea,,14,,,CA Soper
2016-11-08,3,Hong Kong,"Mission Road Ground, Mong Kok",2016/17,Papua New Guinea in Hong Kong ODI Series,ODI,50,"Hong Kong, Papua New Guinea",Hong Kong,Papua New Guinea,international,Papua New Guinea,bat,Hong Kong,,,7,,Anshuman Rath
2017-03-03,1,Antigua,"Sir Vivian Richards Stadium, North Sound",2016/17,England in West Indies ODI Series,ODI,50,"West Indies, England",West Indies,England,international,West Indies,field,England,,45,,,EJG Morgan
